Meet Name,Event Name,Board,Diver Name,Team,University Name,Athletic Division,Athletic Conference,Score,Place,Total DD,Num Dives
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lily Barrett,NAVY,U.S. Naval Academy,D1,Patriot League,256.9,1,14,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Cassandra Adams,NAVY,U.S. Naval Academy,D1,Patriot League,235,2,13.8,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Kaitlyn Carroll,CCSU,Central Connecticut State University,D1,Northeast Conference (NEC),231.35,3,14.3,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Claire Ellish,NAVY,U.S. Naval Academy,D1,Patriot League,228.3,4,14,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Annie Dockx,LUM,Loyola University Maryland,D1,Patriot League,221.95,5,14.1,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lillian Tonole,FU,Fairfield University,D1,MAAC,201.85,6,13.8,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Jade Leblic,FU,Fairfield University,D1,MAAC,188.3,7,12.9,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Simone Abbasi,LUM,Loyola University Maryland,D1,Patriot League,166.35,8,13.9,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lillian Jermain,LUM,Loyola University Maryland,D1,Patriot League,138.85,9,11.1,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Lily Barrett,NAVY,U.S. Naval Academy,D1,Patriot League,251.4,1,14,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Claire Ellish,NAVY,U.S. Naval Academy,D1,Patriot League,238.45,2,14,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Kaitlyn Carroll,CCSU,Central Connecticut State University,D1,Northeast Conference (NEC),238.35,3,14.3,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Cassandra Adams,NAVY,U.S. Naval Academy,D1,Patriot League,233,4,13.8,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Annie Dockx,LUM,Loyola University Maryland,D1,Patriot League,224.1,5,14.1,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Lillian Tonole,FU,Fairfield University,D1,MAAC,201.9,6,13.8,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Jade Leblic,FU,Fairfield University,D1,MAAC,179.85,7,12.9,6
2026 ECAC Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Simone Abbasi,LUM,Loyola University Maryland,D1,Patriot League,179.3,8,13.9,6
